State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,0.76,3000,4000,3500,14 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,0.93,3500,4000,3700,24 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,0.98,4500,5400,4900,04 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.12,4000,5000,4500,06 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.13,3600,4000,3800,23 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.26,3000,4000,3500,17 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.31,3200,4000,3600,15 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.37,3500,4000,3700,20 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.37,4000,4500,4300,22 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.40,4000,4600,4400,30 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.43,2500,3500,3000,25 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.56,2200,2400,2300,18 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.58,2200,3000,2600,09 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.58,2500,3500,3000,26 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.67,3800,4000,3900,24 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.69,3500,4000,3700,18 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,1.97,3500,4000,3700,19 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.00,1200,1500,1300,24 Apr 2015,FAQ
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.00,1300,1600,1400,01 Jul 2010,Large
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.11,3500,4000,3700,23 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.62,4000,4600,4400,29 Sep 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.78,6500,7000,6800,03 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,2.80,2200,3000,2600,08 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,3.00,3000,4000,3500,06 Aug 2019,FAQ
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,3.00,7600,8400,8000,26 Nov 2021,FAQ
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,3.12,4000,4800,4400,13 Oct 2025,Local
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,4.00,1600,2000,1800,13 Sep 2011,Large
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,4.00,3000,3600,3200,15 Jun 2015,FAQ
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,4.00,4400,4800,4600,25 Apr 2014,Medium
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,4.00,4800,5000,4900,01 Sep 2020,FAQ
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,5.00,1400,1800,1600,01 Apr 2014,Medium
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,5.00,1600,2000,1800,25 Oct 2013,Large
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,5.00,1600,2200,1800,18 Oct 2010,Large
Karnataka,Bangalore,Beans,"Binny Mill (F&V), Bangalore",Beans (Whole),Pulses,5.00,2800,3400,3200,05 Jun 2010,Large
