State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,6700,72000,69500,30 Jan 2017,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,12500,14000,13000,03 Apr 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,12500,14000,13000,05 Apr 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,12500,14000,13000,21 Apr 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,12700,14200,14000,09 Mar 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,13500,14000,13750,27 Jan 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,14000,16000,15000,11 Jun 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,14000,16000,15000,25 May 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,18000,20000,19000,10 Nov 2010,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,22000,30800,28000,21 Nov 2011,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,23200,32600,30000,23 May 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,25200,34100,30200,03 Jul 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,26000,38000,32000,23 Aug 2012,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,27000,31000,30000,12 Jan 2012,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,27000,33500,28000,01 Apr 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,28000,35000,31000,21 Mar 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,28200,31400,30000,02 Dec 2011,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,28600,34200,32500,03 May 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,28600,34200,32500,30 Apr 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,30000,40200,35000,27 Mar 2012,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,32000,36700,34000,07 Apr 2012,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,32000,36800,34000,09 May 2012,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,32000,38000,35000,23 Jun 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,03 Apr 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,08 Apr 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,10 Jan 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,18 Apr 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,18 Jan 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,24 Dec 2019,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,38000,35500,30 Nov 2019,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,40000,36500,06 Nov 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,33000,40000,36500,18 Dec 2020,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,34000,42000,38000,07 Aug 2019,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,35000,42000,38500,22 Feb 2021,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,36000,40000,38000,28 Sep 2018,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,36000,40000,38000,30 Jun 2018,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,38000,42000,40000,15 Feb 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,38000,42000,40000,18 Feb 2013,FAQ
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,40000,41000,40500,24 Oct 2013,Local
Karnataka,Bangalore,Black pepper,Bangalore,Other,Spices,1.00,44000,49950,48600,10 Feb 2014,Medium
