State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,9000,15000,12000,12-May-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,14000,25000,19000,08-Mar-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,15000,30000,20000,17-Jan-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,17000,21000,19000,27-Mar-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,58000,70000,64000,19-May-16,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,65000,75000,70000,30-Aug-16,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,82000,90000,86000,05-Apr-18,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,1,82000,90000,86000,06-Apr-18,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,2,12000,20000,18000,28-Feb-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,2,13000,18000,15000,30-Nov-16,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,2,80000,90000,85000,09-Feb-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,3,13000,16000,14500,22-Nov-16,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,7,20000,55000,37500,14-Oct-22,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,10,58000,65000,61500,15-Jul-16,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,15,60000,90000,76000,02-Mar-17,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,32,17000,21000,19000,13-Apr-20,FAQ
Karnataka,Bangalore,Cashewnut,Bangalore,Local(Raw),Dry Fruits,"4,350.00",12000,20000,15000,06-Mar-17,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,1,5000,5000,5000,18-May-10,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,1,5000,5000,5000,25-May-10,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,2,5000,5000,5000,04-May-10,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,2,5175,5175,5175,13-May-20,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,4,6000,6000,6000,29-May-20,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,4,7250,7250,7250,30-May-11,Medium
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,4,8000,8000,8000,11-Jun-20,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,4,8000,8000,8000,31-May-11,Medium
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,5,5200,5200,5200,21-Jun-13,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,5,5500,5500,5500,13-Jun-20,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,5,6000,6000,6000,28-May-20,FAQ
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,5,7000,7000,7000,25-Apr-12,Medium
Karnataka,Belgaum,Cashewnut,Nandagada,Local(Raw),Dry Fruits,5,8500,8500,8500,06-May-15,FAQ
