State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Castor Seed,Badami,Castor seed,Oil Seeds,1.00,3000,3000,3000,13 Nov 2015,Small
Karnataka,Bagalkot,Castor Seed,Badami,Castor seed,Oil Seeds,10.00,2800,2800,2800,18 Oct 2012,FAQ
Karnataka,Bagalkot,Castor Seed,Badami,Castor seed,Oil Seeds,2800,2800,2800,18 Oct 2012,Medium,
Karnataka,Bangalore,Castor Seed,Doddaballa Pur,Castor seed,Oil Seeds,3.00,2500,2700,2600,05 Aug 2010,FAQ
Karnataka,Bangalore,Castor Seed,Doddaballa Pur,Castor seed,Oil Seeds,5.00,4000,4000,4000,20 Jun 2011,FAQ
Karnataka,Bangalore,Castor Seed,Kanakapura,Castor seed,Oil Seeds,1.00,3000,3000,3000,29 Oct 2011,FAQ
Karnataka,Bangalore,Castor Seed,Kanakapura,Castor seed,Oil Seeds,4.00,1200,1300,1230,19 Feb 2011,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,0.63,6300,6500,6400,23 Oct 2025,Local
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,1.00,3200,3400,3300,19 Jun 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,1.00,3300,3500,3400,16 Aug 2016,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,1.00,4600,4800,4700,23 Apr 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,3600,3700,3650,26 Mar 2015,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4000,4200,4100,18 Jul 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4000,4200,4100,23 May 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4100,4300,4200,06 Mar 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4400,4600,4500,03 Oct 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4600,4700,4650,20 Apr 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4900,5100,5000,18 Oct 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4900,5100,5000,22 Oct 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,4900,5100,5000,24 Sep 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,5200,5400,5300,16 Jul 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,5700,5900,5800,21 Aug 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,6000,6250,6100,28 May 2025,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,2.00,6200,6400,6300,25 Sep 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,3200,3400,3300,02 Aug 2016,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,3300,3500,3400,04 Sep 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,3300,3500,3400,31 May 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4000,4100,4050,03 Aug 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4000,4200,4100,04 Jul 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4000,4200,4100,06 Jun 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4000,4200,4100,07 Aug 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4000,4400,4200,06 Nov 2017,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4100,4300,4200,07 May 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4100,4300,4200,25 Feb 2020,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4300,4500,4400,05 Jan 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4300,4500,4400,07 Feb 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4400,4600,4500,20 Nov 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4600,4800,4700,22 Jan 2020,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4800,4900,4800,12 Mar 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4800,5000,4900,09 Jan 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4800,5000,4900,22 May 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4900,5100,5000,25 Sep 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,4900,5100,5000,30 Oct 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,5000,5200,5100,05 Dec 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,5000,5200,5100,19 Jun 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6000,6400,6200,29 Oct 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6100,6300,6200,06 Jan 2025,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6100,6300,6200,26 Jul 2023,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6200,6400,6300,03 Jan 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6200,6400,6300,16 Aug 2023,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6200,6400,6300,22 Nov 2023,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6200,6400,6300,27 Nov 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6200,6450,6300,19 Feb 2025,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,6300,6500,6400,24 Jul 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,3.00,12000,12200,12100,12 Feb 2019,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,4.00,2800,3200,3000,19 Sep 2013,Local
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,4.00,3900,4100,4000,24 Jun 2021,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,4.00,6000,6300,6200,28 Feb 2024,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,4.00,6200,6400,6300,03 Sep 2025,Local
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,5.00,4200,4400,4300,04 Apr 2018,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,5.00,6100,6300,6200,02 Aug 2023,FAQ
Karnataka,Bangalore,Castor Seed,Ramanagara,Castor seed,Oil Seeds,5.00,6100,6300,6200,15 Nov 2023,FAQ
