State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3000,4900,4500,17-May-10,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3000,5125,3200,11-Nov-10,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3300,6000,5600,04-Aug-10,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3500,6700,5200,07-Nov-12,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3800,7300,6200,27-Aug-11,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3800,7500,5400,04-Jul-12,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,3800,7500,5400,04-Jul-12,Large,
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,3800,8000,5900,01-Jan-10,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,4200,8600,6200,08-Jan-14,Medium
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,4500,7500,5800,07-Mar-14,Medium
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,4500,8500,6000,22-Mar-14,Medium
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,5000,12000,8500,13-Sep-17,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,6200,6200,6200,08-Jul-13,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,6500,10800,8650,10-Apr-19,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,6500,12500,9500,24-Jan-19,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,7000,10000,9000,28-Mar-15,FAQ
Karnataka,Bangalore,Coriander,Bangalore,Coriander Seed,Spices,1,7000,13000,11000,20-Feb-15,FAQ
