State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,18,3700,4400,4400,25-Oct-12,FAQ
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,26,4125,4200,4150,27-Aug-15,FAQ
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,28,4100,4200,4150,04-Sep-15,FAQ
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,29,4000,4211,4100,14-Sep-11,Medium
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,67,3700,3900,3750,24-Aug-11,Medium
Karnataka,Bagalkot,Cotton(Lint),Bagalkot(Bilagi),Laxmi,Fibre Crops,68,4100,4600,4100,13-Sep-11,Medium
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,H-4(A) 27mm FIne,Fibre Crops,1,2201,3201,2901,31-Aug-10,Medium
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,H-4(A) 27mm FIne,Fibre Crops,5,4652,4802,4702,17-Aug-12,FAQ
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,4,3800,4400,4200,22-Sep-15,FAQ
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,7,3300,4400,4000,02-Sep-15,FAQ
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,16,2460,3356,3190,30-Jul-10,Medium
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,20,2962,3382,3260,23-Jul-10,Local
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,22,3301,3670,3540,05-Aug-11,Medium
Karnataka,Bagalkot,Cotton(Lint),Jamakhandi,R-51  (Ginned),Fibre Crops,27,2840,3375,3211,06-Aug-10,Medium
