State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Dry Chillies,Bagalakot,Local,Spices,5.00,14000,14000,14000,03 Feb 2025,Ref grade-1
Karnataka,Bagalkot,Dry Chillies,Bagalakot,Local,Spices,8.00,11238,13000,12119,10 Feb 2025,FAQ
Karnataka,Bagalkot,Dry Chillies,Bagalakot,Local,Spices,452.00,14921,14921,14921,01 Feb 2025,Ref grade-1
Karnataka,Bagalkot,Dry Chillies,Hungund,Guntur,Spices,14.00,9000,12200,10000,18 Feb 2019,FAQ
Karnataka,Bagalkot,Dry Chillies,Hungund,Local,Spices,8.00,4375,4375,4375,20 May 2015,FAQ
Karnataka,Bagalkot,Dry Chillies,Hungund,Local,Spices,10.00,36160,36160,36160,06 Feb 2023,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,9000,15000,12000,03 Jun 2017,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,9500,16200,13000,22 Nov 2011,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,15000,18000,16500,03 Oct 2019,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,16000,19000,17500,14 Mar 2018,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,32000,44000,38000,15 Jul 2024,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,45000,47000,46000,18 May 2022,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,1.00,55000,65000,60000,31 Oct 2022,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,3100,15500,6800,04 May 2013,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,7100,9900,8100,07 Sep 2010,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,8000,10000,9000,21 May 2010,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,8000,10000,9000,26 May 2010,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,8000,10000,9500,25 Sep 2010,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,8000,10000,9500,28 Sep 2010,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,8500,11000,9600,18 Jan 2011,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,13000,16000,14500,30 Jun 2017,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,14000,16000,15000,17 Aug 2015,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,25000,30000,27500,01 Jun 2024,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,27000,58000,42500,22 Nov 2023,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,32000,35000,33500,10 Dec 2020,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,32000,36000,34000,15 Oct 2024,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,38000,57000,47500,02 Dec 2022,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,2.00,45000,47000,46000,25 May 2022,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,3.00,7500,13200,9500,18 Dec 2012,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,3.00,9500,15100,10500,28 Jun 2011,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,3.00,9500,15400,10500,14 Jul 2011,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,3.00,9500,16000,12000,13 Dec 2011,FAQ
Karnataka,Bangalore,Dry Chillies,Bangalore,Byadgi,Spices,3.00,9600,16500,13000,03 Dec 2011,FAQ
