State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Linseed,Badami,Other,Oil Seeds,14.00,2300,2300,2300,16 Dec 2010,Medium
Karnataka,Bagalkot,Linseed,Badami,Other,Oil Seeds,16.00,2450,2500,2475,17 Feb 2011,Medium
Karnataka,Bagalkot,Linseed,Badami,Other,Oil Seeds,16.00,2450,2500,2475,25 Feb 2011,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,1.00,2201,2201,2201,09 Jul 2010,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,1.00,2301,2301,2301,08 Sep 2011,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,1.00,2501,2501,2501,15 Oct 2011,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,1.00,3301,3301,3301,19 Aug 2010,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,8.00,2300,2300,2300,09 May 2011,Medium
Karnataka,Bagalkot,Linseed,Bagalakot,Other,Oil Seeds,27.00,2230,2397,2282,26 Dec 2017,Medium
Karnataka,Gadag,Linseed,Gadag,Other,Oil Seeds,1.00,1601,1837,1750,11 Aug 2010,FAQ
Karnataka,Gadag,Linseed,Gadag,Other,Oil Seeds,1.00,2280,3329,3229,28 Apr 2010,FAQ
Karnataka,Gadag,Linseed,Gadag,Other,Oil Seeds,4.00,2020,2411,2320,24 Apr 2010,FAQ
Karnataka,Koppal,Linseed,Kustagi,Other,Oil Seeds,40.00,540,660,600,02 Jul 2012,FAQ
