State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,1,590,6600,6200,04-May-11,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,1,5400,6800,6300,03-Jun-11,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,1,6000,7000,6500,09-Feb-17,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,1,6400,7400,6900,22-Dec-12,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,1,6800,7900,7200,20-Apr-13,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,5600,6200,5900,31-Dec-11,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,5860,6260,6070,12-Jun-12,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,6000,7000,6500,23-Feb-17,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,6100,7200,6650,05-Mar-18,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,6400,7000,6700,20-Jun-18,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,6400,7100,6750,04-Jan-18,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,6500,7600,6800,27-Apr-13,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,7300,8450,7875,06-Dec-18,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,7500,8500,8000,07-Jan-10,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,7600,9500,8600,25-Mar-15,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,8500,11000,9600,20-May-15,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,8800,9800,9300,01-Sep-22,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,8800,9800,9300,02-Sep-22,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,9000,11000,10000,10-Sep-15,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,9800,11000,10400,03-Feb-23,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,2,10500,11000,10750,29-Apr-23,FAQ
Karnataka,Bangalore,Moong(Green Gram),Bangalore,Green Gram Dal,Pulses,3,5400,6200,5900,08-Mar-11,FAQ
