State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,17.00,800,14000,8000,19 Dec 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,17.00,900,5000,3000,02 Jan 2020,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,17.00,900,7000,5500,12 Dec 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,31.00,600,2500,2000,18 Feb 2020,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,36.00,1200,10000,8000,14 Dec 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,48.00,250,600,400,04 Mar 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,50.00,1050,2100,1700,14 Aug 2021,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,57.00,200,900,600,06 Apr 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,70.00,250,820,600,11 Feb 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,73.00,1200,4100,3000,25 Jan 2020,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,80.00,200,700,400,18 Mar 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,80.00,800,3400,2700,12 Feb 2022,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,84.00,2500,4500,3900,27 Aug 2024,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,98.00,700,3300,2800,12 Jan 2021,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,99.00,100,600,400,23 Feb 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,104.00,1040,4000,3700,15 Aug 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,108.00,300,1700,800,14 Mar 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,114.00,850,3800,3600,08 Aug 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,119.00,500,2800,2500,24 Oct 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,124.00,350,1200,800,03 Jun 2023,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,126.00,350,930,650,02 Jul 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,132.00,200,700,550,02 Apr 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,152.00,300,900,600,06 May 2023,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,164.00,400,750,550,23 Apr 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,183.00,100,800,500,22 Jan 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,198.00,500,1800,1500,25 May 2021,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,215.00,450,1200,850,12 Mar 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,226.00,450,2100,1800,14 Jul 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,239.00,200,800,600,09 Apr 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,249.00,800,3100,2800,10 Oct 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,263.00,400,1400,800,19 Jan 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,280.00,200,2000,1500,16 Oct 2021,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,295.00,200,900,600,15 Mar 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,315.00,1000,7500,7000,30 Nov 2019,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,365.00,300,2700,2400,17 Oct 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,367.00,100,800,500,01 Jan 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,406.00,250,900,650,13 Dec 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,486.00,300,1100,850,20 Dec 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,503.00,500,2200,1900,17 Oct 2015,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,509.00,250,950,650,27 Dec 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,517.00,800,2500,2000,05 Oct 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,598.00,300,4350,4000,12 Nov 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,748.00,350,750,450,08 Oct 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,783.00,300,1300,1000,20 Oct 2018,Medium
Karnataka,Bagalkot,Onion,Bagalkot(Bilagi),Other,Vegetables,96.00,1200,3150,2700,10 Aug 2024,FAQ
Karnataka,Bagalkot,Onion,Jamakhandi,Onion,Vegetables,24.00,300,1000,800,03 Mar 2016,FAQ
Karnataka,Bagalkot,Onion,Jamakhandi,Onion,Vegetables,30.00,150,2000,1000,27 Feb 2020,FAQ
Karnataka,Bagalkot,Onion,Jamakhandi,Onion,Vegetables,32.00,400,1000,800,13 Apr 2017,FAQ
Karnataka,Bagalkot,Onion,Jamakhandi,Onion,Vegetables,32.00,500,1000,800,29 Jun 2017,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,20.00,650,3000,2600,04 Feb 2020,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,48.00,300,1050,800,21 May 2022,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,54.00,700,3000,2700,10 Sep 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,74.00,250,900,600,07 Feb 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,77.00,1750,3300,2700,23 Jul 2024,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,81.00,500,3200,2800,06 Aug 2024,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,86.00,1000,3300,2900,22 Jun 2024,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,91.00,300,2200,1800,15 Aug 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,91.00,400,2000,1600,06 Aug 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,95.00,600,3000,2700,14 Aug 2019,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,111.00,200,600,300,13 Sep 2016,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,111.00,500,1250,950,07 May 2022,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,124.00,400,1300,1000,26 Jul 2022,FAQ
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,141.00,300,1500,1250,17 Oct 2017,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,154.00,300,1100,700,18 Apr 2020,Medium
Karnataka,Bagalkot,Onion,Bagalakot,Onion,Vegetables,167.00,100,800,500,05 Jan 2019,Medium
