State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,1800,2200,2000,12-Jan-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,1900,2200,2050,19-Sep-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,1900,2300,2100,23-Jun-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2600,3000,2800,03-Dec-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2700,3200,2950,19-Jun-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3000,2900,11-May-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3000,2900,18-May-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3000,2900,23-Jan-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3000,2900,30-Sep-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3100,2950,29-Mar-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3200,3000,26-Apr-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,2800,3500,3100,23-Jun-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3000,3200,3100,14-Jul-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3000,3200,3100,15-Feb-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3000,3600,3300,26-Dec-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3100,3200,3150,02-Dec-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3100,3200,3150,07-Aug-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3100,3200,3150,15-Jun-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3100,3200,3150,16-Feb-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3200,3600,3500,27-Apr-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3800,4400,4100,28-Nov-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,3800,4500,4150,03-Dec-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,1,4200,4600,4400,27-Mar-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,980,1180,1000,16-Sep-11,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1100,1250,1175,18-Feb-11,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1100,1300,1200,01-Oct-10,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1100,1315,1200,05-Feb-11,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1800,2100,1950,03-Mar-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1800,2200,2000,06-Apr-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1800,2200,2000,24-Mar-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1800,2200,2000,30-Jun-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1900,2200,2000,05-May-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,1900,2200,2050,09-Nov-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2000,2200,2100,10-Mar-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2000,2300,2150,23-May-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2100,2800,2400,18-Dec-12,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2400,2800,2600,15-Nov-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,15-Jun-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,18-Dec-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,19-Nov-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,22-Apr-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,30-Apr-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3000,2900,30-Jul-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3100,2950,10-Dec-18,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3100,2950,12-Apr-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2800,3200,3000,16-May-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,2900,3500,3200,25-May-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3000,3200,3100,08-Apr-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3100,3200,3150,12-Nov-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3100,3200,3150,19-Feb-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3200,3600,3400,19-Jan-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3400,3600,3500,06-Mar-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3800,4000,3900,03-Apr-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3900,4200,4050,21-Oct-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,3900,4200,4050,26-Oct-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,4000,4200,4100,20-Jan-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,4000,4200,4100,23-Jan-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,4000,4500,4250,01-Jul-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,2,4600,4900,4750,02-Jan-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,1600,2000,1800,09-May-14,Medium
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,1800,2100,1950,27-Feb-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,1900,2100,2000,14-Sep-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,1900,2250,2100,05-Jun-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,1900,2480,2300,22-May-14,Medium
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2000,2300,2150,02-Mar-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2000,2300,2150,15-Jun-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2200,2300,2250,22-Sep-14,Medium
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2500,3900,3500,01-Oct-11,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2600,3400,3000,27-May-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,02-Aug-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,02-Mar-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,02-Sep-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,03-Aug-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,07-Feb-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,09-Jan-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,14-Dec-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,15-Feb-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,15-Jul-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,16-Nov-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,16-Sep-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,17-Jun-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,18-Jun-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,18-Sep-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,19-Mar-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,21-Jun-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3000,2900,24-Jan-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3100,2950,16-Jan-18,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3200,3000,19-Nov-22,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,2800,3200,3000,25-Apr-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3000,3200,3100,23-Jul-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3000,3400,3200,10-Mar-23,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3000,3400,3200,31-Jul-18,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3000,3500,3250,01-Aug-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3000,3600,3300,23-Dec-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3100,3200,3150,01-Jun-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3100,3200,3150,02-Feb-21,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3100,3200,3150,08-Sep-20,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3100,3200,3150,19-Jun-19,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3100,3400,3250,27-Nov-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3200,3600,3400,21-Feb-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,3350,3550,3450,15-Sep-17,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,4000,4200,4100,25-Jan-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,4000,4500,4250,21-Sep-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,3,4300,4500,4400,21-May-24,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1800,2200,2000,19-Jan-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1800,2200,2000,21-Jan-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1800,2200,2000,23-Jan-16,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1900,2100,2000,18-Jul-14,Medium
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1900,2200,2000,24-Apr-15,FAQ
Karnataka,Bangalore,Ragi,Bangalore,Fine,Cereals,4,1900,2400,2200,14-Nov-14,Medium
