State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Sesamum,Badami,Other,Oil Seeds,3,3400,3500,3400,05-Aug-10,Medium
Karnataka,Bagalkot,Sesamum,Badami,Other,Oil Seeds,4,2250,2250,2250,29-Jul-10,Medium
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,1,4500,4500,4500,13-Nov-15,Small
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,2,2950,2950,2950,28-Jan-10,Medium
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,5,3475,3475,3475,10-Nov-11,Medium
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,11,3750,4100,3900,29-Apr-10,Medium
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,14,3750,3800,3775,03-Jun-10,Medium
Karnataka,Bagalkot,Sesamum,Badami,White,Oil Seeds,20,5100,5300,5200,09-Nov-10,Medium
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,1,2959,2959,2959,14-Jun-17,Medium
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,1,4000,4100,4095,06-Feb-19,Medium
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,1,5055,5055,5055,28-Dec-15,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,1,6101,6101,6101,21-Jul-15,Medium
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,5,2851,3188,3111,28-Apr-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,5,2902,3325,3301,15-Jun-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,8,2701,3205,3182,03-May-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,11,3221,4011,3690,26-Oct-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,13,2851,3951,3065,22-May-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,24,3741,3990,3930,04-Oct-18,Medium
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,31,3526,4059,3801,18-Sep-12,FAQ
Karnataka,Bagalkot,Sesamum,Bagalakot,White,Oil Seeds,41,3638,5711,4876,22-Sep-22,FAQ
Karnataka,Bagalkot,Sesamum,Hungund,White,Oil Seeds,1,4703,4703,4703,20-Sep-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,3000,3500,3250,07-Jan-11,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,3200,4000,3500,07-Sep-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,3500,4100,3800,24-Sep-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4000,4600,4300,08-Mar-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4000,4600,4300,12-Mar-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4000,4700,4500,13-Jul-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4000,4800,4400,29-Mar-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4500,5000,4750,28-Jan-10,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4800,5500,5200,26-Aug-15,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,4800,6000,5400,09-Sep-15,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5000,6700,5850,11-Aug-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,5800,5650,03-Nov-15,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,5800,5650,20-Nov-15,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6000,5750,08-Feb-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6000,5750,12-Jan-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6000,5750,14-Jan-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6000,5750,16-Dec-15,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6000,5750,16-Jan-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6500,6000,05-Aug-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6500,6000,08-Jun-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6500,6000,19-Jul-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6500,6000,25-May-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,6500,6000,29-Jul-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5500,7000,6250,31-Aug-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5600,6000,5800,07-Apr-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5600,6000,5800,26-Feb-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,5600,6300,5950,12-Apr-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6000,7500,6750,13-Oct-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6000,7500,6750,16-Sep-16,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6000,7500,7000,07-Jul-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6000,7500,7000,17-Jul-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6000,7500,7000,21-Jul-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6200,7500,6850,27-Jul-17,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6500,7500,7000,01-Jan-18,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6500,7500,7000,06-Feb-18,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6500,7500,7000,10-Jan-18,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6500,7500,7000,14-Feb-18,FAQ
Karnataka,Bangalore,Sesamum,Bangalore,Black,Oil Seeds,1,6500,7500,7000,23-Jan-18,FAQ
