State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,2.00,2300,2300,2300,13 Nov 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,2.00,3200,3200,3200,28 Feb 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,3.00,3400,3500,3500,17 Mar 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,3.00,3500,3500,3500,22 Dec 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,5.00,2850,2850,2850,14 Oct 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,5.00,3325,3325,3325,13 Jan 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,5.00,4000,4000,4000,13 Jan 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,5.00,4000,4000,4000,30 Nov 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,2800,2800,2800,21 May 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,3250,3250,3250,30 Oct 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,3300,3300,3300,05 Nov 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,3400,3400,3400,24 Sep 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,3400,3400,3400,29 Sep 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,6.00,3500,3500,3500,11 Nov 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,10.00,3200,3200,3200,17 Dec 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,10.00,3250,3250,3250,09 Nov 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,11.00,3500,3500,3500,27 Sep 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,11.00,4000,4000,4000,05 Mar 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,12.00,4800,4800,4800,03 Oct 2020,Medium
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,12.00,4800,4800,4800,14 Sep 2020,Medium
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,23.00,3411,3421,3421,06 Nov 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,25.00,2731,3000,3000,07 Oct 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,27.00,3200,3200,3200,18 Feb 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Hybrid,Oil Seeds,48.00,3200,3500,3500,31 Dec 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,2800,2800,2800,16 Mar 2012,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2800,2800,2800,16 Mar 2012,Medium,
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,2845,2845,2845,09 Nov 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,3200,3200,3200,20 Dec 2013,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,3333,3333,3333,16 Sep 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,4000,4000,4000,06 Jun 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,1.00,4000,4000,4000,28 Jan 2014,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4000,4000,4000,28 Jan 2014,Small,
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,1800,1800,1800,15 Apr 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,2000,2000,2000,28 Jan 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,2100,2100,2100,21 May 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,2600,2600,2600,17 Oct 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,2800,2800,2800,22 Jul 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,2800,4000,4000,24 Sep 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,3000,3000,3000,25 Aug 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,3000,3000,3000,31 Oct 2014,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,3100,3100,3100,25 Oct 2019,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2.00,4000,4000,4000,07 Sep 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,2000,2000,2000,05 Jul 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,2400,2400,2400,02 Jun 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,2400,2400,2400,06 Jun 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,2500,2500,2500,25 Jul 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,2525,2525,2525,07 Jul 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,3000,3000,3000,12 Sep 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,3150,3150,3150,22 Oct 2013,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,4000,4000,4000,15 Dec 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3.00,8000,8000,8000,17 May 2022,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,2400,2400,2400,23 Oct 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,2400,2700,2400,25 Apr 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,2900,2900,2900,26 Dec 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,3000,3000,3000,30 Jan 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,3025,3025,3025,21 Oct 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,3700,3700,3700,10 Dec 2013,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,4000,4000,4000,25 Sep 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,4.00,4950,4950,4950,06 Jul 2023,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2000,2000,2000,26 Apr 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2400,2425,2410,30 Sep 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2500,2500,2500,14 Feb 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2700,2900,2900,06 Oct 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2800,2800,2800,13 Oct 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,2800,2800,2800,21 Oct 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,3200,3200,3200,06 Dec 2012,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,3300,3300,3300,18 Nov 2014,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,3400,3400,3400,26 Dec 2012,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3400,3400,3400,26 Dec 2012,Medium,
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,3800,3800,3800,18 Dec 2012,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,4000,4000,4000,11 Sep 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,4300,4300,4300,28 Nov 2019,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,5.00,5650,5650,5650,28 Nov 2022,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,2400,2400,2400,11 Oct 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,2500,2500,2500,24 May 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,2500,2500,2500,27 Jul 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,2600,2650,2625,09 Dec 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,3200,4000,4000,05 Oct 2013,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,3500,3600,3600,01 Jan 2016,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,6.00,6000,6000,6000,11 Jan 2021,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,7.00,2350,2400,2370,21 Oct 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,7.00,2800,2800,2800,14 Feb 2012,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,7.00,2980,2980,2980,11 Jan 2018,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,7.00,3600,3700,3700,11 Oct 2012,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,8.00,2600,3000,2600,01 Oct 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,8.00,4101,4101,4101,13 Nov 2019,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,2637,2637,2637,25 May 2011,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,2950,2950,2950,17 Nov 2017,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3000,3000,3000,28 Dec 2011,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,3000,3000,3000,28 Dec 2011,Medium,
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3000,3000,3000,30 Sep 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3550,3550,3550,04 Dec 2015,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3825,3825,3825,07 Jan 2019,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3900,3900,3900,29 Sep 2018,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,3940,3940,3940,26 Sep 2018,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,4000,4000,4000,09 Nov 2020,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,4051,4051,4051,14 Sep 2018,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,4300,4300,4300,11 Sep 2012,FAQ
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,4300,4300,4300,28 Jan 2020,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,9.00,7800,7800,7800,24 May 2022,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,10.00,2000,2001,2000,31 Aug 2010,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,10.00,2725,2725,2725,18 May 2012,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,10.00,2751,2751,2751,30 Jan 2014,Medium
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,2751,2751,2751,30 Jan 2014,Small,
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,10.00,2800,3200,3200,22 Jan 2014,Small
Karnataka,Bagalkot,Sunflower,Badami,Sunflower,Oil Seeds,10.00,3150,3150,3150,28 Oct 2011,Medium
