State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.12,2200,3000,2600,23 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.17,2200,2600,2400,20 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.30,2300,2500,2400,26 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.30,2600,2800,2700,30 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.35,2000,2400,2200,24 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.36,2200,3000,2600,04 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.40,2200,2600,2400,18 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.40,2200,2600,2400,19 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.45,2800,3300,3000,18 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.49,2900,3400,3100,24 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.57,3000,3400,3200,15 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.60,2800,3200,3000,14 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.69,3000,3400,3200,17 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.72,2400,3000,2800,22 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.72,3000,3400,3200,16 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.75,2400,2700,2500,06 Oct 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.80,2300,2500,2400,25 Sep 2025,Local
Karnataka,Bangalore,Sweet Potato,"Binny Mill (F&V), Bangalore",Sweet Potato,Vegetables,0.86,2800,3300,3000,23 Oct 2025,Local
