State Name,District Name,Commodity,Market Name,Variety,Group,Arrivals (Tonnes),Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Reported Date,Grade
Karnataka,Bagalkot,Wheat,Badami,White,Cereals,5.00,1450,1450,1450,07 May 2015,Small
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,1.00,1400,1400,1400,07 Oct 2017,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,1.00,1506,1506,1506,06 Apr 2015,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,1.00,2140,2140,2140,29 Apr 2019,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,2.00,1450,1450,1450,11 Feb 2015,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,3.00,1425,1480,1480,19 May 2016,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,4.00,1301,1312,1312,18 Mar 2010,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,4.00,1700,1750,1734,31 May 2018,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,4.00,2005,2011,2008,08 Mar 2019,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,4.00,2050,2050,2050,13 Jun 2019,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,4.00,2050,2100,2081,08 Apr 2019,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,5.00,2669,6029,4852,27 Mar 2017,FAQ
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,7.00,1263,1283,1282,23 Mar 2010,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,8.00,1385,1405,1405,06 Apr 2011,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,8.00,1725,1750,1746,28 Apr 2018,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,9.00,1251,1259,1256,01 Apr 2010,Medium
Karnataka,Bagalkot,Wheat,Bagalakot,Sona,Cereals,9.00,1281,1281,1281,22 Mar 2010,Medium
