state,state_id,district,district_id,market,market_id
Andaman and Nicobar,AN,Nicobar,2,Car Nicobar,4362
Andaman and Nicobar,AN,North and Middle Andaman,3,Diglipur,4364
Andaman and Nicobar,AN,North and Middle Andaman,3,Mayabandar,4363
Andaman and Nicobar,AN,South Andaman,1,Port Blair,366
Andhra Pradesh,AP,Anantapur,12,Anantapur,873
Andhra Pradesh,AP,Anantapur,12,Dharmavaram,386
Andhra Pradesh,AP,Anantapur,12,Gooti,919
Andhra Pradesh,AP,Anantapur,12,Guntakal,922
Andhra Pradesh,AP,Anantapur,12,Hindupur,925
Andhra Pradesh,AP,Anantapur,12,"Hindupur,RBZ",3580
Andhra Pradesh,AP,Anantapur,12,Kadiri,939
Andhra Pradesh,AP,Anantapur,12,Kalyandurg,942
Andhra Pradesh,AP,Anantapur,12,Madakasira,976
Andhra Pradesh,AP,Anantapur,12,"P. Ramacharyulu Park,RBZ",1236
Andhra Pradesh,AP,Anantapur,12,Penukonda,385
Andhra Pradesh,AP,Anantapur,12,Rayadurg,1048
Andhra Pradesh,AP,Anantapur,12,Tadipatri,1066
Andhra Pradesh,AP,Anantapur,12,Tenakallu,3457
Andhra Pradesh,AP,Anantapur,12,Urvakonda,1082
Andhra Pradesh,AP,Chittor,13,Bangarupalem,879
Andhra Pradesh,AP,Chittor,13,Chittoor,893
Andhra Pradesh,AP,Chittor,13,"Chittoor (MGH),RBZ",3576
Andhra Pradesh,AP,Chittor,13,Chittor(Rythu Bazar),4291
Andhra Pradesh,AP,Chittor,13,Kalikiri,3811
Andhra Pradesh,AP,Chittor,13,Kuppam,967
Andhra Pradesh,AP,Chittor,13,Madanapalli,975
Andhra Pradesh,AP,Chittor,13,Mulakalacheruvu,2170
Andhra Pradesh,AP,Chittor,13,Nagalapuram,2171
Andhra Pradesh,AP,Chittor,13,Nagari,995
Andhra Pradesh,AP,Chittor,13,Pakala,1016
Andhra Pradesh,AP,Chittor,13,Palamaner,382
Andhra Pradesh,AP,Chittor,13,Piler,1028
Andhra Pradesh,AP,Chittor,13,Punganur,1038
Andhra Pradesh,AP,Chittor,13,Puttur,1040
