id,year,state_name,state_code,district_name,district_code,season,crop_code,crop_name,crop_type,area,area_unit,production,production_unit,yield,yield_unit
3984, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,507,Arecanut,Spices,1,Hectare,7,Tonnes,7,Tonnes/Hectare
4004, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,202,Arhar/Tur,Pulses,6154,Hectare,2602,Tonnes,0.42,Tonnes/Hectare
4028, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,103,Bajra,Cereals,48855,Hectare,52375,Tonnes,1.07,Tonnes/Hectare
4064, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1002,Castor Seed,Oilseeds,71,Hectare,61,Tonnes,0.86,Tonnes/Hectare
4086, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,1006,Coconut,Oilseeds,571,Hectare,2728000,Tonnes,4777.58,Tonnes/Hectare
4113, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,509,Coriander,Spices,43,Hectare,4,Tonnes,0.09,Tonnes/Hectare
4133, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1101,Cotton(Lint),Fiber Crops,15225,Hectare,22129,Tonnes,1.45,Tonnes/Hectare
4156, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,502,Dry Chillies,Spices,619,Hectare,816,Tonnes,1.32,Tonnes/Hectare
4183, 1998-99,Karnataka,29,Bagalkote,524,Whole Year ,508,Garlic,Spices,30,Hectare,25,Tonnes,0.83,Tonnes/Hectare
4218, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,201,Gram,Pulses,17835,Hectare,15170,Tonnes,0.85,Tonnes/Hectare
4241, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1001,Groundnut,Oilseeds,16368,Hectare,7734,Tonnes,0.47,Tonnes/Hectare
4242, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,1001,Groundnut,Oilseeds,15849,Hectare,24166,Tonnes,1.52,Tonnes/Hectare
4291, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,206,Horse-Gram,Pulses,3372,Hectare,1156,Tonnes,0.34,Tonnes/Hectare
4292, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,206,Horse-Gram,Pulses,2098,Hectare,608,Tonnes,0.29,Tonnes/Hectare
4342, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,102,Jowar,Cereals,12363,Hectare,24855,Tonnes,2.01,Tonnes/Hectare
4343, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,102,Jowar,Cereals,152540,Hectare,120840,Tonnes,0.79,Tonnes/Hectare
4398, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,1005,Linseed,Oilseeds,4667,Hectare,1667,Tonnes,0.36,Tonnes/Hectare
4412, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,104,Maize,Cereals,30630,Hectare,92831,Tonnes,3.03,Tonnes/Hectare
4413, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,104,Maize,Cereals,10520,Hectare,24026,Tonnes,2.28,Tonnes/Hectare
4414, 1998-99,Karnataka,29,Bagalkote,524,Summer     ,104,Maize,Cereals,2252,Hectare,5016,Tonnes,2.23,Tonnes/Hectare
4479, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,204,Moong(Green Gram),Pulses,13872,Hectare,1147,Tonnes,0.08,Tonnes/Hectare
4522, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,1010,Niger Seed,Oilseeds,310,Hectare,47,Tonnes,0.15,Tonnes/Hectare
4545, 1998-99,Karnataka,29,Bagalkote,524,Kharif     ,708,Onion,Vegetable,3090,Hectare,14100,Tonnes,4.56,Tonnes/Hectare
4546, 1998-99,Karnataka,29,Bagalkote,524,Rabi       ,708,Onion,Vegetable,1226,Hectare,16070,Tonnes,13.11,Tonnes/Hectare
4547, 1998-99,Karnataka,29,Bagalkote,524,Summer     ,708,Onion,Vegetable,1032,Hectare,15017,Tonnes,14.55,Tonnes/Hectare
