crop,N,P,K,ph,rainfall,temperature,humidity
Arhar/Tur,20.52,59.67,20.51,6.29,655.45,34.51,51.0
Arhar/Tur,25.19,59.36,24.27,6.86,893.2,34.62,52.95
Arhar/Tur,25.85,54.1,22.87,6.59,909.27,25.76,54.72
Arhar/Tur,20.8,59.29,28.58,6.07,893.66,33.8,52.37
Arhar/Tur,24.28,58.75,27.34,6.8,616.62,30.15,51.83
Arhar/Tur,25.57,59.7,27.09,6.42,978.83,26.28,58.79
Arhar/Tur,25.87,55.55,29.49,6.48,605.42,26.79,52.72
Arhar/Tur,20.88,54.39,26.86,6.73,694.9,34.38,51.07
Arhar/Tur,21.5,55.71,26.03,7.42,874.66,27.53,58.01
Arhar/Tur,24.64,55.92,27.43,6.48,808.93,29.98,57.94
Arhar/Tur,23.17,51.46,21.3,6.74,773.45,26.2,58.92
Arhar/Tur,24.63,59.34,20.8,7.36,628.3,28.88,50.28
Arhar/Tur,20.24,54.61,24.29,6.9,700.77,31.83,53.32
Arhar/Tur,20.2,57.74,29.95,6.12,861.37,29.57,53.75
Arhar/Tur,26.78,55.53,20.61,6.57,908.89,25.71,50.18
Arhar/Tur,29.47,53.31,25.97,6.01,947.76,28.93,58.63
Arhar/Tur,22.43,54.9,22.66,7.43,929.32,27.41,51.42
Arhar/Tur,22.45,55.14,29.93,6.62,726.01,34.83,54.33
Arhar/Tur,26.99,55.19,25.72,6.01,735.64,33.55,52.34
Arhar/Tur,28.79,51.55,27.9,6.91,704.28,26.39,59.19
Arhar/Tur,27.51,56.53,20.11,6.14,783.71,25.36,56.92
Arhar/Tur,25.92,51.17,28.4,6.25,891.97,25.57,52.36
Arhar/Tur,28.09,56.36,29.92,6.02,894.05,28.43,50.9
Arhar/Tur,28.29,55.16,27.09,7.16,933.25,27.98,54.15
Arhar/Tur,28.04,57.66,25.16,7.35,652.74,30.18,50.76
Arhar/Tur,25.71,55.77,27.48,6.31,626.97,34.59,55.48
Arhar/Tur,23.39,58.26,20.24,7.45,608.43,29.82,59.25
Arhar/Tur,26.92,53.05,29.78,6.54,788.51,34.98,57.89
Arhar/Tur,29.52,54.16,29.23,6.04,958.43,31.02,56.93
Arhar/Tur,23.45,53.22,23.06,7.04,767.36,29.54,58.01
Arhar/Tur,26.69,54.82,29.31,6.51,613.73,27.41,56.07
Arhar/Tur,28.64,54.11,25.66,7.2,663.81,28.51,56.92
Arhar/Tur,26.33,58.02,25.4,6.7,627.37,28.26,50.63
Arhar/Tur,23.17,57.84,25.44,6.34,983.14,28.6,54.13
Arhar/Tur,20.34,58.34,29.75,6.33,838.79,33.19,53.2
Arhar/Tur,23.74,57.6,27.05,6.84,844.21,32.95,50.75
Arhar/Tur,28.99,58.74,28.24,6.04,743.96,26.01,53.51
Arhar/Tur,20.74,52.47,27.72,7.02,837.3,26.15,59.52
Arhar/Tur,20.86,59.2,29.61,6.47,901.85,26.02,50.73
Arhar/Tur,20.01,51.52,29.82,7.11,675.19,31.14,59.75
Arhar/Tur,23.31,57.58,21.37,6.61,762.22,34.88,57.94
Arhar/Tur,22.02,55.0,25.57,7.12,754.72,32.68,53.96
Arhar/Tur,21.71,54.14,28.45,6.93,868.3,32.73,58.98
Arhar/Tur,21.72,51.92,25.86,7.01,925.03,25.57,57.48
Arhar/Tur,29.68,54.54,26.85,6.27,945.35,29.31,56.88
Arhar/Tur,20.13,58.31,29.51,6.4,921.98,28.07,52.81
Arhar/Tur,24.5,54.05,27.57,6.37,936.47,29.61,51.05
Arhar/Tur,21.42,50.75,26.58,7.42,831.93,29.75,59.82
Arhar/Tur,23.37,59.21,20.55,6.64,788.19,34.48,53.28
Arhar/Tur,26.47,51.34,29.36,7.48,885.34,28.51,59.09
Arhar/Tur,29.72,51.01,22.27,7.39,606.3,26.11,54.84
Arhar/Tur,24.65,52.81,26.54,6.48,811.5,34.19,59.64
Arhar/Tur,25.86,58.17,25.36,6.78,895.47,31.48,55.23
Arhar/Tur,29.6,54.03,29.08,6.07,827.05,30.64,56.5
Arhar/Tur,29.25,53.82,20.36,6.7,771.83,29.47,50.5
Arhar/Tur,23.82,55.71,25.46,7.2,856.7,32.15,59.36
Arhar/Tur,26.42,52.69,21.07,7.11,859.16,30.46,54.85
Arhar/Tur,29.89,53.19,26.89,6.11,720.37,34.43,52.19
Arhar/Tur,26.98,59.78,23.08,6.28,800.56,34.94,57.61
Arhar/Tur,24.94,58.65,21.59,7.24,910.91,34.92,56.02
Arhar/Tur,21.25,57.56,28.16,6.77,912.96,27.04,52.79
Arhar/Tur,29.96,52.0,28.18,6.22,830.17,30.5,50.93
Arhar/Tur,22.89,58.01,21.07,6.81,734.31,27.22,53.33
Arhar/Tur,21.66,56.84,29.05,6.43,975.87,34.13,52.14
Arhar/Tur,24.84,57.88,25.44,6.22,766.42,27.58,54.0
Arhar/Tur,22.39,51.63,27.0,6.24,881.75,28.07,52.68
Arhar/Tur,29.73,52.18,26.63,7.09,715.48,29.94,54.85
Arhar/Tur,23.53,56.78,29.53,7.44,731.96,29.92,59.95
Arhar/Tur,25.21,53.96,20.49,6.29,888.17,28.33,50.02
Arhar/Tur,21.67,58.17,25.69,7.46,700.96,30.5,54.85
Arhar/Tur,23.83,56.53,28.84,6.07,789.63,30.55,54.81
Arhar/Tur,23.23,55.89,23.89,7.14,764.95,28.96,50.75
Arhar/Tur,24.28,52.12,26.9,6.65,901.57,32.18,56.48
Arhar/Tur,29.93,55.7,21.12,6.41,816.3,25.89,57.23
Arhar/Tur,28.8,50.11,21.29,6.97,960.75,33.33,58.44
Arhar/Tur,28.57,57.16,25.98,6.4,760.66,30.67,50.57
Arhar/Tur,21.47,50.6,23.29,6.45,607.13,26.54,51.8
